sensor,importance_rf,importance_rf_norm,abs_rho,permutation_imp,abs_rho_norm,permutation_imp_norm,score_composite,subsystem
engine_rpm,0.06276721365661853,0.29528992888146566,0.10032617145916795,2.899903262727381,0.995567936684922,0.9777250060093696,0.7561942905252526,Moteur
converter_out_temp,0.08927873234191136,0.4200140326141519,0.08879224291377119,1.9201899154971478,0.8811131610585503,0.6474070086403001,0.6495114007710008,Transmission
rear_axle_temp,0.08792231450199944,0.4136327309098519,0.08413561717811402,0.8076158452837531,0.8349040093672697,0.27229398212431066,0.5069435741338107,Essieux
brake_oil_temp,0.038083155268307016,0.1791631578913396,0.10077280290206778,0.8112522419256027,1.0,0.27352002161818023,0.4842277265031732,Freinage
air_tank_pressure,0.08374094964741427,0.3939613952139154,0.0550023969425385,1.2230213925014664,0.5458059650875295,0.4123512027806214,0.4507061876940221,Pneumatique
steering_oil_temp,0.0448361757064916,0.21093291169681766,0.06604473196436846,0.48520278146078094,0.6553825046282727,0.1635899026415567,0.34330177298888237,Direction
